text|ministry
Prime Minister|1
Ministry of Personnel Public Grievances and Pensions|1
Department of Atomic Energy|1
Department of Space|1
Cabinet Ministers|1
Ministry of Defence|1
Ministry of Home Affairs|1
Ministry of Road Transport and Highways|1
Ministry of Micro Small and Medium Enterprises|1
Ministry of Consumer Affairs Food and Public Distribution|1
Ministry of Finance|1
Ministry of Corporate Affairs|1
Ministry of Women and Child Development|1
Ministers of State|1
Ministry of Labour and Employment|1
Ministry of Statistics and Programme Implementation|1
President|1
Vice-President|1
Council of Ministers|1
Governors|1
State|1
Governors of State|1
Lt. Governors & Administrators|1
Lt. Governors|1
Administrators|1
Union Territory|1
Chief Ministers|1
Judges of Supreme Court|1
Chiefs of Armed Forces|1
Armed Forces|1
Army|1
Navy|1
Military|1
Chief of Defence Staff|1
Chief of the Army Staff|1
Chief of the Naval Staff|1
Chief of the Air Staff|1
Members of Parliament|1
Lok Sabha|1
Rajya Sabha|1
Legislative Assemblies|1
Legislative Councils|1
Members of Legislative Assembly|1
Legislative Council|1
Andhra Pradesh|1
Arunachal Pradesh|1
Assam|1
Bihar|1
Chhattisgarh|1
Delhi|1
Goa|1
Gujarat|1
Haryana|1
Himachal Pradesh|1
Jammu & Kashmir|1
Jharkhand|1
Karnataka|1
Kerala|1
Madhya Pradesh|1
Maharashtra|1
Manipur|1
Meghalaya|1
Mizoram|1
Nagaland|1
Odisha|1
Punjab|1
Rajasthan|1
Sikkim|1
Tamil Nadu|1
Telangana|1
Tripura|1
Uttarakhand|1
Uttar Pradesh|1
West Bengal|1
CABINET MEMBERS|1
HIS HIGHNESS|1
Vice-President|1
Minister of Defence|1
Prime Minister|1
LIEUTENANT GENERAL|1
Deputy Prime Minister|1
Minister of Interior|1
Cabinet Member|1
Minister of Finance|1
Minister of Foreign Affairs and International Cooperation|1
BOARD OF DIRECTORS|1
HIS EXCELLENCY|1
Cabinet Member and Minister of Tolerance and Coexistence|1
Cabinet Member and Minister of Cabinet Affairs|1
Minister of the Federal Supreme Council Affairs|1
Cabinet Member and Minister of Health and Prevention, Minister of State for Federal National Council Affairs|1
Cabinet Member and Minister of State for Foreign Affairs|1
Cabinet Member and Minister of State for Financial Affairs|1
HER EXCELLENCY|1
Cabinet Member and Minister of State for International Cooperation|1
Cabinet Member and Minister of Energy and Infrastructure|1
Cabinet Member and Minister of Climate Change and Environment|1
Cabinet Member and Minister of Industry and Advanced Technology|1
FEDERAL SUPREME COUNCIL|1
Ministry of Defence|1
Minstry of Interior|1
Ministry of Presidential Affairs|1
Ministry of Finance|1
Federal Authority for Identity and Naturalisation|1
Federal Transport Authority - Land and Maritime|1
General Civil Aviation Authority|1
Federal Electricity and Water Authority|1
General Authority of Youth and Sports Welfare|1
The National Human Resource Development and Employment Authority|1
Emirates Authority for Standardization and Metrology|1
Securities and Commodities Authority|1
Federal Customs Authority|1
Insurance Authority|1
Telecommunications Regulatory Authority|1
General Authority of Islamic Affairs and Endowments|1
Federal Authority for Government Human Resources|1
Federal Authority For Nuclear Regulation|1
UAE Red Crescent|1
The National Emergency and Crisis Management Authority|1
Zakat Fund|1
Central Bank of The UAE|1
Zakat Fund|1
Institute of Training and Judicial Studies|1
UAE Space Agency|1
Corporate Social Responsibility UAE Fund|1
Federal Competitiveness and Statistics Authority|1
THE CONSTITUTION|1
FEDERAL SYSTEM|1
FEDERAL SUPREME COUNCIL|1
FEDERAL GOVERNMENT ENTITIES|1
Government Leaders|1
President|1
Deputy President|1
Ministers|1
Premiers|1
Parliament|1
Agriculture, Land Reform and Rural Development|1
Cooperative Governance and Traditional Affairs|1
Communications and Digital Technologies|1
Government system|1
Structure and functions of the South African Government|1
National legislature (Parliament)|1
Executive Authority (President, Cabinet and Deputy Ministers)|1
Law making|1
Justice system|1
Justice and Correctional Services - Justice|1
Presidency for Women, Youth and Persons with Disabilities|1
Here is Prime Minister|1
Here is Ministry of Personnel Public Grievances and Pensions|1
Here is Department of Atomic Energy|1
Here is Department of Space|1
Here is Cabinet Ministers|1
Here is Ministry of Defence|1
Here is Ministry of Home Affairs|1
Here is Ministry of Road Transport and Highways|1
Here is Ministry of Micro Small and Medium Enterprises|1
Here is Ministry of Consumer Affairs Food and Public Distribution|1
Here is Ministry of Finance|1
Here is Ministry of Corporate Affairs|1
Here is Ministry of Women and Child Development|1
Here is Ministers of State|1
Here is Ministry of Labour and Employment|1
Here is Ministry of Statistics and Programme Implementation|1
Here is President|1
Here is Vice-President|1
Here is Council of Ministers|1
Here is Governors|1
Here is State|1
Here is Governors of State|1
Here is Lt. Governors & Administrators|1
Here is Lt. Governors|1
Here is Administrators|1
Here is Union Territory|1
Here is Chief Ministers|1
Here is Judges of Supreme Court|1
Here is Chiefs of Armed Forces|1
Here is Armed Forces|1
Here is Army|1
Here is Navy|1
Here is Military|1
Here is Chief of Defence Staff|1
Here is Chief of the Army Staff|1
Here is Chief of the Naval Staff|1
Here is Chief of the Air Staff|1
Here is Members of Parliament|1
Here is Lok Sabha|1
Here is Rajya Sabha|1
Here is Legislative Assemblies|1
Here is Legislative Councils|1
Here is Members of Legislative Assembly|1
Here is Legislative Council|1
Here is Andhra Pradesh|1
Here is Arunachal Pradesh|1
Here is Assam|1
Here is Bihar|1
Here is Chhattisgarh|1
Here is Delhi|1
Here is Goa|1
Here is Gujarat|1
Here is Haryana|1
Here is Himachal Pradesh|1
Here is Jammu & Kashmir|1
Here is Jharkhand|1
Here is Karnataka|1
Here is Kerala|1
Here is Madhya Pradesh|1
Here is Maharashtra|1
Here is Manipur|1
Here is Meghalaya|1
Here is Mizoram|1
Here is Nagaland|1
Here is Odisha|1
Here is Punjab|1
Here is Rajasthan|1
Here is Sikkim|1
Here is Tamil Nadu|1
Here is Telangana|1
Here is Tripura|1
Here is Uttarakhand|1
Here is Uttar Pradesh|1
Here is West Bengal|1
Here is CABINET MEMBERS|1
Here is HIS HIGHNESS|1
Here is Vice-President|1
Here is Minister of Defence|1
Here is Prime Minister|1
Here is LIEUTENANT GENERAL|1
Here is Deputy Prime Minister|1
Here is Minister of Interior|1
Here is Cabinet Member|1
Here is Minister of Finance|1
Here is Minister of Foreign Affairs and International Cooperation|1
Here is BOARD OF DIRECTORS|1
Here is HIS EXCELLENCY|1
Here is Cabinet Member and Minister of Tolerance and Coexistence|1
Here is Cabinet Member and Minister of Cabinet Affairs|1
Here is Minister of the Federal Supreme Council Affairs|1
Here is Cabinet Member and Minister of Health and Prevention, Minister of State for Federal National Council Affairs|1
Here is Cabinet Member and Minister of State for Foreign Affairs|1
Here is Cabinet Member and Minister of State for Financial Affairs|1
Here is HER EXCELLENCY|1
Here is Cabinet Member and Minister of State for International Cooperation|1
Here is Cabinet Member and Minister of Energy and Infrastructure|1
Here is Cabinet Member and Minister of Climate Change and Environment|1
Here is Cabinet Member and Minister of Industry and Advanced Technology|1
Here is FEDERAL SUPREME COUNCIL|1
Here is Ministry of Defence|1
Here is Minstry of Interior|1
Here is Ministry of Presidential Affairs|1
Here is Ministry of Finance|1
Here is Federal Authority for Identity and Naturalisation|1
